id,rank,short_title,description,severity,frequency,urgency,service_card_slug,evidence_count,bad_advice_circulating,product_solution,primary_solution_form,validated_sources,last_verified
ar11-deadline-10-days,15,AR-11 address change deadline (10 days),"You have 10 days from moving to file AR-11. Many users miss this deadline because they don't know it exists.",medium,high,medium,form-draft-helper,212,Update later when you have time,AR-11 deadline calculator + filing reminder,AR-11,Telegram Допомога/Поради,2026-04-30
i912-evidence-insufficient,16,Fee waiver denied for insufficient evidence,"USCIS requires specific documentation for I-912: means-tested benefit OR household income OR financial hardship. Generic statements rejected.",high,medium,high,re-parole-u4u,178,Just say you can't afford it,Fee waiver evidence checklist by qualifying ground,I-912,FB UA Community,2026-04-30
i94-not-retrieved-before-filing,17,Filing without retrieving I-94 first,"Many fields on USCIS forms (class of admission, last arrival date) come from your I-94. Filing without retrieving it = errors.",medium,high,medium,i-94,98,The information is in your passport stamps,I-94 retrieval guide + form prefill helper,,Telegram Адаптація UA,2026-04-30
case-status-receipt-format-confusion,18,Confused by USCIS receipt number format,"Receipt numbers begin with EAC/WAC/LIN/SRC/NBC/MSC/IOE + 10 digits. Users enter spaces or dashes and check fails.",low,very_high,low,uscis-case-status,520,Type it however you have it,Receipt format normalizer + visual format guide,,Telegram Юридические послуги США + community,2026-04-30
asylum-1-year-filing-deadline,19,Missing asylum 1-year filing deadline,"You must file I-589 within 1 year of last arrival in US (with limited exceptions). Many TPS holders miss this filing window.",critical,medium,critical,form-draft-helper,234,You can file asylum any time,Asylum eligibility timeline + 1-year deadline alert,I-589,Telegram Юридические послуги США,2026-04-30
travel-on-tps-without-advance-parole,20,Traveling on TPS without Advance Parole,"TPS does not include travel authorization. Leaving US without Advance Parole document = TPS abandonment.",critical,medium,extreme,tps-ukraine,156,TPS lets you travel like any visa,Travel decision tree for TPS holders,I-131,FB Малюк group,2026-04-30
ead-card-name-mismatch,21,EAD card has wrong name spelling,"Name on EAD doesn't match passport / SSN. Causes I-9 issues with employer.",medium,medium,medium,ead-work-permit,89,Just use the EAD as is,Name correction request guide,,Telegram TPS та Дозвіл,2026-04-30
biometrics-bring-wrong-id,22,Bringing wrong ID to biometrics appointment,"USCIS requires specific ID at biometrics: appointment notice + government-issued photo ID. Bringing wrong docs = rescheduling.",low,medium,low,biometrics,67,Bring whatever passport you have,Biometrics document checklist by appointment type,,Telegram Адаптація UA,2026-04-30
misinformation-uscis-call-center,23,USCIS Contact Center gives wrong information,"USCIS Contact Center reps frequently give incorrect info. Always verify against written USCIS sources.",medium,high,medium,uscis-case-status,142,USCIS officer told me X so it must be true,Contact Center quote verification guide,,FB Skylex Lawyer + community,2026-04-30
denial-no-explanation-letter,24,Denial letter without clear reason,"Some denial letters cite generic grounds (203(a)(7) abandonment etc.). Decoding requires reading USCIS Policy Manual.",high,medium,high,rfe-denial,98,Reapply from scratch,Denial letter decoder + grounds-by-grounds response guide,,Telegram Юридические послуги США,2026-04-30
applicant-info-update-after-filing,25,Updating personal info after filing,"Address change AR-11 is separate from updating address on each pending case. Two different processes.",medium,medium,medium,form-draft-helper,112,AR-11 updates everything,Post-filing update checklist,AR-11,Telegram Адаптація UA,2026-04-30
green-card-after-tps-confusion,26,Path to green card from TPS,"TPS does not lead directly to green card. Requires separate qualifying path (employment / family / asylum).",high,high,medium,tps-ukraine,287,TPS holders get green card automatically after X years,Status transition planning tool,,FB Immigrant Porada 20K + Telegram,2026-04-30
sponsor-i864-affidavit-misuse,27,Sponsor refusing to honor I-864 obligations,"I-864 affidavit of support is enforceable contract. Sponsors abandoning obligations face legal consequences.",high,medium,high,parole-expires-soon,76,The sponsor can just walk away,Sponsor obligation enforcement guide,,FB UA Community,2026-04-30
asylum-pro-se-denial-rate,28,Filing asylum without legal representation,"Asylum has significantly higher denial rates pro se. Strongly recommend attorney or DOJ-accredited rep.",high,high,high,form-draft-helper,310,You don't need a lawyer,Asylum legal rep finder (DOJ EOIR roster),I-589,Telegram Юридические послуги США,2026-04-30
ead-late-renewal-employment-gap,29,Filing EAD renewal too late,"Filing EAD renewal less than 180 days before expiry can cause employment gap if processing delays.",high,high,high,ead-work-permit,201,Renew when it expires,EAD renewal calculator with 180-day buffer,I-765,Telegram TPS та Дозвіл,2026-04-30
i131-travel-vs-reentry-confusion,30,Confusing Advance Parole vs Reentry Permit,"I-131 is one form for multiple purposes. Wrong selection = wrong document = travel issues.",medium,medium,medium,re-parole-u4u,87,They're the same document,I-131 purpose selector,I-131,FB Selfreliance,2026-04-30
ead-stem-extension-misunderstanding,31,STEM OPT extension confused with EAD auto-extension,"STEM OPT extension is specific to F-1 students. Different rules from TPS/parole EAD auto-extension.",medium,low,medium,ead-work-permit,54,All EAD extensions work the same,EAD type-specific extension guide,,Telegram Юридические послуги США,2026-04-30
notice-of-appearance-g28-confusion,32,Filing without G-28 attorney notice,"If using attorney G-28 must be on file. Filing without it means USCIS communicates only with applicant.",low,medium,low,form-draft-helper,32,Attorney is just a helper they don't need a form,G-28 filing reminder,G-28,Community general,2026-04-30
checking-status-online-vs-receipt,33,Old paper receipt vs USCIS online account,"Some users have paper receipts but no online account. Confusion about status checking methods.",low,medium,low,uscis-case-status,186,Online account tracks everything automatically,Account vs paper receipt explainer,,Telegram community,2026-04-30
translation-self-certified-rejected,34,Self-certified translation rejected by USCIS,"USCIS requires translator certification of competence. Self-translation by applicant accepted in some cases but risky.",medium,high,medium,translate-document,143,I can translate my own documents,Translation certification template + competence statement,,FB UA Community,2026-04-30
denial-without-rfe-direct,35,Direct denial without RFE first,"USCIS can deny without issuing RFE if case clearly unapprovable. Many users expect RFE phase that never comes.",high,medium,high,rfe-denial,167,RFE always comes first,Denial recovery options (MTR Appeal Refile),,Telegram Юридические послуги США,2026-04-30
