id,severity,problem,root_cause,exact_files,products,evidence,recommended_action
R11,P2,"No dedicated staging + no verified Stripe test-vs-live isolation","Single project economics; staging deferred; only one STRIPE_SECRET_KEY/WEBHOOK_SECRET in prod env, no *_TEST variant","Vercel env; v1-nightly-staging.yml; v1-document-benchmark.yml","ALL","both staging workflows exit 0 dry-run (V1_STAGING_READY not true); INFRA_OPERATIONS_AUDIT.md","Stand up staging Supabase + Stripe Test Mode keys; flip V1_STAGING_READY only after isolation proven"
R12,P2,"Single shared admin secret; no per-operator identity; non-constant-time compare for PDF-send + queue mutations","Auth model compares request cookie to one env ADMIN_SECRET; per-operator identity deferred to V2/#119; static audit actor 'translation_operator'","lib/auth/requireAdminAuth + requireTranslationOperator; admin/manual-review routes","Translation operator","SECURITY_PII_AUDIT.md §2 weaknesses","Introduce per-operator identity + rotation + timing-safe compare when V2 operator layer lands"
R13,P2,"SECURITY DEFINER RPCs is_admin/is_moderator_or_admin executable by 'authenticated' role via REST","Pre-existing function grants; not introduced by #121-#133","public.is_admin(), public.is_moderator_or_admin()","platform","Supabase advisor WARN authenticated_security_definer_function_executable; SECURITY_PII_AUDIT.md §3","Confirm intent or REVOKE EXECUTE from authenticated"
R14,P2,"No enforced branch protection on main (free private GitHub plan); direct push permitted","Repo on free plan; CLAUDE.md sanctions direct push; guards.yml advisory only","GitHub repo settings; .github/workflows/guards.yml","platform","GET /branches/main/protection -> 403 Upgrade required; INFRA_OPERATIONS_AUDIT.md","Make CI required (paid plan or public) so guards block merges; or enforce via process discipline"
R15,P2,"Backups/PITR/DR and rollback runbook UNVERIFIED","Managed-tier dependent, not readable via MCP read-only; no restore/DR/incident runbook in repo","none (gap)","ALL","INFRA_OPERATIONS_AUDIT.md backups/rollback sections","Confirm Supabase PITR tier; author restore + rollback + incident runbooks; test a restore"
R16,P2,"No cost dashboard / no runtime provider-budget visibility; provider spend uncapped at route","budget guard library-only (R09); cost visibility = provider consoles only","(no runtime budget); provider clients","ALL OCR/AI","INFRA_OPERATIONS_AUDIT.md cost section; PROVIDER_COST_INVENTORY.csv","Wire budget (R09); add spend telemetry/dashboard"
R17,P3,"PR #128 '3/3 PDF readback PASS' is an unbacked JSON literal (real proof is #116, synthetic)","Label/doc drift: a hand-authored PASS string propagated into STATUS/CHANGELOG as if a gate existed","artifacts/v1/.../benchmark.json; STATUS.md; CHANGELOG.md; real tests lib/packet/__tests__/*.e2e + i821/i131/i765 (from #116)","TPS/Re-Parole/EAD","USCIS_PDF_AUDIT.md; #128 merge 840a069 = 4 docs only","Correct STATUS/CHANGELOG to cite #116 PROVEN_LOCAL; stop labeling JSON writes as gate results"
R18,P3,"Translation vision-extract runs buildCanonicalResult twice (canonical + legacy), persisting redundant shadow records","Parity path kept during migration; never collapsed","app/api/translation/vision-extract/route.ts:301 and :449","Translation","CANONICAL_CORE_AUDIT.md Q2","Collapse to single canonical persist once parity confidence is established"
R19,P3,"Dead code: readDocumentCore, central-brain, oneBrain/decideField carried as if live","ADR-017 new core never wired; live route used pre-existing docintel reader","lib/canonical/core/readDocumentCore.ts; lib/central-brain/index.ts; lib/docintel/oneBrain/decideField.ts","platform","grep zero non-test/non-self importers; CANONICAL_CORE_AUDIT.md Q1","Remove or quarantine dead modules after confirming no enforce-path plan depends on them"
R20,P3,"STATUS.md/RELEASE_STATE.yaml stale (production_sha=62c897a; live=02eb595); claims ledger WIRED/READY","Docs not updated after 5 post-doc PR merges; claim-vs-reality drift","STATUS.md; RELEASE_STATE.yaml","platform","live healthz=02eb595; SECURITY_PII_AUDIT.md §4","Update STATUS/RELEASE_STATE to live sha and correct ledger status to NOT_WIRED"
R21,P3,"Cron cleanup schedule for generated_packets/wizard_drafts not verifiable from repo; no wizard_drafts purge cron found","Schedule lives in platform/Vercel cron config not readable here; wizard_drafts TTL comment has no backing cron","app/api/cron/cleanup; wizard_drafts.expires_at","TPS/Translation","USER_FLOW_MATRIX.md §1; INFRA_OPERATIONS_AUDIT.md retention","Add/verify cron that purges expired wizard_drafts and generated_packets; document schedule"
R22,P3,"Gazetteer is a 24-centre seed (not exhaustive); off-seed places fall through to raw KMU-55 transliteration","Seed scope by design; coverage limit","packages/knowledge/gazetteer.ts","Translation/TPS","BRAIN_DICTIONARY_AUDIT.md PART A","Expand gazetteer as GT reveals gaps; acceptable interim (no fabrication, just coverage)"
R23,P3,"Key rotation manual; Vision SA key historically pasted in chat; service-role key shared across envs widens blast radius","No automated rotation; historical exposure noted in MEMORY","env/secrets management","platform","INFRA_OPERATIONS_AUDIT.md key rotation","Rotate exposed keys; scope service-role to prod (R02); adopt rotation cadence"
