category,key_uk,key_ru,official_en,aliases,valid_from,valid_until,source_url,source_authority,source_act,confidence_rule,review_rule,warning,notes
document_type,свідоцтво про народження,свидетельство о рождении,Birth Certificate,,,,https://zakon.rada.gov.ua/laws/show/1025-2010-п,Мінюст,КМУ №1025,high,auto,,
field_label,прізвище,фамилия,Surname,,,,https://zakon.rada.gov.ua/laws/show/1025-2010-п,Мінюст,КМУ №1025,high,auto,,
oblast,волинська,волынская,Volyn Oblast,волинської|волинській,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,дніпропетровська,днепропетровская,Dnipropetrovsk Oblast,дніпропетровської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,донецька,донецкая,Donetsk Oblast,донецької,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,житомирська,житомирская,Zhytomyr Oblast,житомирської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,закарпатська,закарпатская,Zakarpattia Oblast,закарпатської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,запорізька,запорожская,Zaporizhzhia Oblast,запорізької,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,івано-франківська,ивано-франковская,Ivano-Frankivsk Oblast,івано-франківської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,київська,киевская,Kyiv Oblast,київської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,кіровоградська,кировоградская,Kirovohrad Oblast,кіровоградської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,oblast kept name; city renamed Kropyvnytskyi 2016,
oblast,луганська,луганская,Luhansk Oblast,луганської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,львівська,львовская,Lviv Oblast,львівської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,миколаївська,николаевская,Mykolaiv Oblast,миколаївської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,одеська,одесская,Odesa Oblast,одеської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,полтавська,полтавская,Poltava Oblast,полтавської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,рівненська,ровенская,Rivne Oblast,рівненської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,сумська,сумская,Sumy Oblast,сумської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,тернопільська,тернопольская,Ternopil Oblast,тернопільської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,харківська,харьковская,Kharkiv Oblast,харківської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,херсонська,херсонская,Kherson Oblast,херсонської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,хмельницька,хмельницкая,Khmelnytskyi Oblast,хмельницької,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,черкаська,черкасская,Cherkasy Oblast,черкаської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,чернівецька,черновицкая,Chernivtsi Oblast,чернівецької,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
oblast,чернігівська,черниговская,Chernihiv Oblast,чернігівської,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
settlement,київ,киев,Kyiv,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КАТОТТГ/КОАТУУ,high,auto,,capital
settlement,харків,харьков,Kharkiv,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КАТОТТГ/КОАТУУ,high,auto,,Kharkiv Oblast
settlement,одеса,одесса,Odesa,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КАТОТТГ/КОАТУУ,high,auto,,Odesa Oblast
settlement,дніпро,днепр,Dnipro,дніпропетровськ,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КАТОТТГ/КОАТУУ,high,auto,,renamed from Dnipropetrovsk 2016
settlement,львів,львов,Lviv,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КАТОТТГ/КОАТУУ,high,auto,,Lviv Oblast
authority,пенсійний фонд,пенсионный фонд,Pension Fund of Ukraine,пфу|пенсійний фонд україни,,,https://www.pfu.gov.ua/en/,ПФУ,,high,auto,,
authority,кабінет міністрів,кабинет министров,Cabinet of Ministers of Ukraine,кму|кабмін,,,https://www.kmu.gov.ua/en,КМУ,,high,auto,,
authority,міністерство освіти і науки,министерство образования и науки,Ministry of Education and Science of Ukraine,мон,,,https://mon.gov.ua/en,МОН,,high,auto,,
authority,міністерство охорони здоровя,министерство здравоохранения,Ministry of Health of Ukraine,моз,,,https://moz.gov.ua/en,МОЗ,,high,auto,,
authority,міністерство розвитку громад та територій,министерство развития общин и территорий,Ministry of Communities and Territories Development of Ukraine,мінрегіон,,,https://www.minregion.gov.ua/en/,Мінрегіон,,high,auto,,
